SITE INFORMATION,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,SITE BELGIUM,,,,,,Grid EP Information*,,,,,,,,,,,,
,,,,SITE CONSUMPTION,,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,TOTAL kWh/yr,,,842338.0000000014,,,Hedged Price (EUR/kWh),0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174
,1,8,23,67.72500000000001,,,,,,,,,,,,,,,
,1,8,24,66.67500000000001,,,,,,,,,,,,,,,
,1,9,1,63,,,,,,,,,,,,,,,
,1,9,2,61.775000000000006,,,,,,,,,,,,,,,
,1,9,3,66.5,,,,,,,,,,,,,,,
,1,9,4,63.00000000000001,,,,,,,,,,,,,,,
,1,9,5,62.65,,,,,,,,,,,,,,,
,1,9,6,64.925,,,,,,,,,,,,,,,
,1,9,7,66.675,,,,,,,,,,,,,,,
,1,9,8,56.875,,,,,,,,,,,,,,,
,1,9,9,63.87499999999999,,,,,,,,,,,,,,,
,1,9,10,65.45,,,,,,,,,,,,,,,
,1,9,11,63.35,,,,,,,,,,,,,,,
,1,9,12,59.675,,,,,,,,,,,,,,,
,1,9,13,60.724999999999994,,,,,,,,,,,,,,,
,1,9,14,53.37499999999999,,,,,,,,,,,,,,,
,1,9,15,72.10000000000001,,,,,,,,,,,,,,,
,1,9,16,61.775,,,,,,,,,,,,,,,
,1,9,17,58.099999999999994,,,,,,,,,,,,,,,
,1,9,18,61.425,,,,,,,,,,,,,,,
,1,9,19,69.65,,,,,,,,,,,,,,,
,1,9,20,60.900000000000006,,,,,,,,,,,,,,,
,1,9,21,63.525,,,,,,,,,,,,,,,
,1,9,22,65.275,,,,,,,,,,,,,,,
,1,9,23,66.15,,,,,,,,,,,,,,,
,1,9,24,67.55000000000001,,,,,,,,,,,,,,,
,1,10,1,62.3,,,,,,,,,,,,,,,
,1,10,2,61.95,,,,,,,,,,,,,,,
,1,10,3,65.275,,,,,,,,,,,,,,,
,1,10,4,60.55,,,,,,,,,,,,,,,
,1,10,5,71.225,,,,,,,,,,,,,,,
,1,10,6,88.2,,,,,,,,,,,,,,,
,1,10,7,104.125,,,,,,,,,,,,,,,
,1,10,8,110.95,,,,,,,,,,,,,,,
,1,10,9,104.30000000000001,,,,,,,,,,,,,,,
,1,10,10,107.1,,,,,,,,,,,,,,,
,1,10,11,103.775,,,,,,,,,,,,,,,
,1,10,12,95.375,,,,,,,,,,,,,,,
,1,10,13,85.92500000000001,,,,,,,,,,,,,,,
,1,10,14,105.175,,,,,,,,,,,,,,,
,1,10,15,85.225,,,,,,,,,,,,,,,
,1,10,16,81.37500000000001,,,,,,,,,,,,,,,
,1,10,17,71.925,,,,,,,,,,,,,,,
,1,10,18,86.275,,,,,,,,,,,,,,,
,1,10,19,75.425,,,,,,,,,,,,,,,
,1,10,20,73.325,,,,,,,,,,,,,,,
,1,10,21,81.2,,,,,,,,,,,,,,,
,1,10,22,85.05000000000001,,,,,,,,,,,,,,,
,1,10,23,86.62500000000001,,,,,,,,,,,,,,,
,1,10,24,76.65,,,,,,,,,,,,,,,
,1,11,1,66.5,,,,,,,,,,,,,,,
,1,11,2,70,,,,,,,,,,,,,,,
,1,11,3,63.175,,,,,,,,,,,,,,,
,1,11,4,70.35,,,,,,,,,,,,,,,
,1,11,5,96.07499999999999,,,,,,,,,,,,,,,
,1,11,6,127.22500000000001,,,,,,,,,,,,,,,
,1,11,7,142.275,,,,,,,,,,,,,,,
,1,11,8,157.675,,,,,,,,,,,,,,,
,1,11,9,172.375,,,,,,,,,,,,,,,
,1,11,10,145.25,,,,,,,,,,,,,,,
,1,11,11,137.025,,,,,,,,,,,,,,,
,1,11,12,128.275,,,,,,,,,,,,,,,
,1,11,13,132.29999999999998,,,,,,,,,,,,,,,
,1,11,14,135.8,,,,,,,,,,,,,,,
,1,11,15,134.05,,,,,,,,,,,,,,,
,1,11,16,112.69999999999999,,,,,,,,,,,,,,,
,1,11,17,86.8,,,,,,,,,,,,,,,
,1,11,18,84.175,,,,,,,,,,,,,,,
,1,11,19,93.1,,,,,,,,,,,,,,,
,1,11,20,80.325,,,,,,,,,,,,,,,
,1,11,21,89.075,,,,,,,,,,,,,,,
,1,11,22,84.875,,,,,,,,,,,,,,,
,1,11,23,91.35,,,,,,,,,,,,,,,
,1,11,24,81.19999999999999,,,,,,,,,,,,,,,
,1,12,1,73.15,,,,,,,,,,,,,,,
,1,12,2,69.475,,,,,,,,,,,,,,,
,1,12,3,74.89999999999999,,,,,,,,,,,,,,,
,1,12,4,69.3,,,,,,,,,,,,,,,
