Month,Day,Hour,
2,3,13,118.3
2,3,14,157.9
2,3,15,134.6
2,3,16,102.0
2,3,17,84.7
2,3,18,91.0
2,3,19,76.5
2,3,20,81.2
2,3,21,90.1
2,3,22,85.4
2,3,23,87.0
2,3,24,89.3
2,4,1,74.0
2,4,2,77.0
2,4,3,73.5
2,4,4,68.1
2,4,5,91.5
2,4,6,102.2
2,4,7,138.1
2,4,8,112.4
2,4,9,113.4
2,4,10,132.1
2,4,11,118.8
2,4,12,112.5
2,4,13,74.6
2,4,14,94.0
2,4,15,86.1
2,4,16,76.7
2,4,17,63.4
2,4,18,67.4
2,4,19,49.0
2,4,20,52.2
2,4,21,59.7
2,4,22,57.2
2,4,23,59.7
2,4,24,57.2
2,5,1,61.1
2,5,2,58.1
2,5,3,50.4
2,5,4,53.7
2,5,5,63.2
2,5,6,61.4
2,5,7,53.2
2,5,8,53.7
2,5,9,62.0
2,5,10,60.9
2,5,11,55.0
2,5,12,52.0
2,5,13,53.7
2,5,14,54.6
2,5,15,60.6
2,5,16,55.5
2,5,17,54.8
2,5,18,51.6
2,5,19,64.4
2,5,20,58.3
2,5,21,61.8
2,5,22,55.1
2,5,23,59.3
2,5,24,66.5
2,6,1,61.6
2,6,2,58.1
2,6,3,52.5
2,6,4,54.4
2,6,5,63.4
2,6,6,60.7
2,6,7,55.8
2,6,8,53.4
2,6,9,60.2
2,6,10,62.3
2,6,11,55.5
2,6,12,54.8
2,6,13,57.4
2,6,14,59.3
2,6,15,62.3
2,6,16,59.2
2,6,17,56.2
2,6,18,53.6
2,6,19,64.4
2,6,20,57.2
2,6,21,62.1
2,6,22,58.5
2,6,23,58.8
2,6,24,66.7
2,7,1,59.0
2,7,2,62.5
2,7,3,56.5
2,7,4,60.9
2,7,5,85.2
2,7,6,101.7
2,7,7,106.1
2,7,8,139.3
2,7,9,141.4
2,7,10,149.6
2,7,11,140.7
2,7,12,131.1
2,7,13,110.6
2,7,14,133.7
2,7,15,132.7
2,7,16,106.4
2,7,17,81.2
2,7,18,87.5
2,7,19,79.6
2,7,20,80.7
2,7,21,85.1
2,7,22,81.7
2,7,23,87.7
2,7,24,84.5
2,8,1,80.5
2,8,2,68.3
2,8,3,73.2
2,8,4,71.2
2,8,5,81.9
2,8,6,102.6
2,8,7,103.6
2,8,8,135.8
2,8,9,144.4
