Month,Day,Hour,SITE CONSUMPTION Grid supply (kWh),SITE CONSUMPTION Natural Gas (kWh),ONSITE SOLAR SYSTEM PRODUCTION (kWh),GRID (OMIE) Price (€/MWh),NG (MIBGAS) Price (€/MWh)
3,29,22,887.25,177.45000000000002,0,66.36,33.18
3,29,23,838.2499999999999,167.64999999999998,0,62.79699999999999,31.398499999999995
3,29,24,890.7499999999999,178.14999999999998,0,57.757,28.8785
3,30,1,764.75,152.95,0,56.623,28.3115
3,30,2,805,161,0,55.138999999999996,27.569499999999998
3,30,3,820.7499999999999,164.14999999999998,0,54.656,27.328
3,30,4,985.25,197.05,0,53.76,26.88
3,30,5,1408.75,281.75,0,62.922999999999995,31.461499999999997
3,30,6,1594.25,318.85,0,83.972,41.986
3,30,7,1750,350,9.418136064886104,90.51,45.255
3,30,8,1674.75,334.95,125.37893636379624,77,38.5
3,30,9,1664.25,332.85,251.3465062316479,63.461999999999996,31.730999999999998
3,30,10,1860.25,372.05000000000007,420.28432189554246,56.028,28.014
3,30,11,1800.75,360.15,570.3858654296646,45.184999999999995,22.592499999999998
3,30,12,1723.75,344.75,704.5943043542917,18.249,9.1245
3,30,13,1760.5,352.1,636.3128178838674,4.0249999999999995,2.0124999999999997
3,30,14,1608.25,321.65,660.4467915501382,8.309,4.1545
3,30,15,1338.75,267.75,626.3060483149259,27.733999999999998,13.866999999999999
3,30,16,967.7499999999999,193.55,566.2654309012771,51.583,25.7915
3,30,17,1023.75,204.75,400.8594162617148,68.75399999999999,34.376999999999995
3,30,18,941.5,188.3,224.85799854915575,84.28,42.14
3,30,19,1006.25,201.25,60.04061741364892,83.832,41.916
3,30,20,916.9999999999999,183.4,0.5886335040553815,72.29599999999999,36.147999999999996
3,30,21,950.2499999999999,190.04999999999998,0,70.252,35.126
3,30,22,974.75,194.95000000000002,0,63.532,31.766
3,30,23,1002.7499999999999,200.55,0,45.590999999999994,22.795499999999997
3,30,24,871.5,174.30000000000004,0,45.43,22.715
3,31,1,831.25,166.25,0,39.97,19.985
3,31,2,789.25,157.85,0,34.034,17.017
3,31,3,869.75,173.95,0,33.67,16.835
3,31,4,988.75,197.75000000000003,0,39.781,19.8905
3,31,5,1188.25,237.65,0,71.288,35.644
3,31,6,1377.2500000000002,275.45000000000005,0,79.688,39.844
3,31,7,1792,358.4,8.829502560830724,79.625,39.8125
3,31,8,1832.25,366.45000000000005,136.5629729408485,68.87299999999999,34.436499999999995
3,31,9,1632.75,326.55,301.3803540763554,64.267,32.1335
3,31,10,1666.0000000000002,333.20000000000005,427.9365574482623,67.41,33.705
3,31,11,1688.75,337.75,355.53463644945043,59.26199999999999,29.630999999999997
3,31,12,1512,302.4,497.9839444308527,49.098,24.549
3,31,13,1772.7499999999998,354.54999999999995,327.8688617588475,54.166,27.083
3,31,14,1844.5000000000002,368.9000000000001,349.05966790484126,51.107,25.5535
3,31,15,1249.5,249.89999999999998,403.21395027793636,48.16,24.08
3,31,16,894.25,178.85000000000002,320.21662620612756,59.157,29.5785
3,31,17,1021.9999999999999,204.39999999999998,351.4142019210628,71.82,35.91
3,31,18,878.5,175.7,243.69427067892792,77.301,38.6505
3,31,19,897.75,179.55,64.16105194203658,77.44099999999999,38.720499999999994
3,31,20,932.7499999999999,186.54999999999998,0.5886335040553815,69.181,34.5905
3,31,21,1006.25,201.25,0,60.711,30.3555
3,31,22,980,196,0,56,28
3,31,23,1008,201.6,0,57.532999999999994,28.766499999999997
3,31,24,0,0,0,44.73,22.365
4,1,1,836.5,167.3,0,37.688,18.844
4,1,2,784,156.8,0,31.072999999999997,15.536499999999998
4,1,3,806.7499999999998,161.34999999999997,0,28.853999999999996,14.426999999999998
4,1,4,787.5,157.5,0,30.911999999999995,15.455999999999998
4,1,5,1104.25,220.85000000000002,0,29.749999999999996,14.874999999999998
4,1,6,1389.5,277.9,0,39.543,19.7715
4,1,7,1343.9999999999998,268.79999999999995,10.006769568941486,46.221,23.1105
4,1,8,1298.5000000000002,259.70000000000005,154.81061156656534,46.809,23.4045
4,1,9,1165.5,233.10000000000002,334.3438303034567,40.663,20.3315
4,1,10,1405.25,281.05000000000007,513.8770490403481,41.482,20.741
4,1,11,1207.5,241.50000000000003,660.4467915501381,31.681999999999995,15.840999999999998
4,1,12,911.7500000000001,182.35000000000002,744.0327491260022,30.653,15.3265
4,1,13,888.9999999999999,177.79999999999998,778.1734923612144,25.466,12.733
4,1,14,899.5,179.90000000000003,759.3372202314422,26.999,13.4995
4,1,15,866.25,173.25,683.9921317123533,32.928,16.464
4,1,16,748.9999999999999,149.79999999999998,559.2018288526124,43.001,21.5005
4,1,17,754.25,150.85000000000002,399.09351574954866,65.821,32.9105
4,1,18,673.75,134.75,228.9784330775434,67.179,33.5895
4,1,19,743.75,148.75,65.92695245420273,72.8,36.4
4,1,20,680.75,136.15000000000003,1.7659005121661444,60.955999999999996,30.477999999999998
4,1,21,780.5,156.1,0,57.28099999999999,28.640499999999996
4,1,22,696.5,139.3,0,48.244,24.122
4,1,23,610.75,122.15,0,54.144999999999996,27.072499999999998
4,1,24,831.25,166.25,0,47.236,23.618
4,2,1,654.4999999999999,130.89999999999998,0,40.956999999999994,20.478499999999997
4,2,2,563.5,112.69999999999999,0,42.321999999999996,21.160999999999998
4,2,3,614.25,122.85,0,40.956999999999994,20.478499999999997
4,2,4,577.5,115.5,0,42.321999999999996,21.160999999999998
4,2,5,666.75,133.35000000000002,0,41.104,20.552
4,2,6,574,114.80000000000003,0,49.056,24.528
4,2,7,610.75,122.15,12.361303585163013,52.885,26.4425
4,2,8,493.5,98.70000000000002,152.4560775503438,46.263,23.1315
4,2,9,700,140,321.39389321423835,39.543,19.7715
4,2,10,603.7500000000001,120.75000000000003,495.62941041463125,45.72399999999999,22.861999999999995
4,2,11,678.9999999999999,135.79999999999998,662.2126920623042,62.95799999999999,31.478999999999996
4,2,12,558.25,111.65,623.9515142987043,23.407999999999998,11.703999999999999
4,2,13,614.25,122.85,591.5766715756585,12.733,6.3665
4,2,14,588,117.6,731.0828120367838,16.912,8.456
4,2,15,609,121.8,668.099027102858,21.517999999999997,10.758999999999999
4,2,16,603.75,120.75000000000001,573.917666453997,29.218,14.609
4,2,17,542.5,108.50000000000001,330.8120292791244,70.28699999999999,35.143499999999996
4,2,18,605.5,121.10000000000001,239.57383615054027,91,45.5
4,2,19,672,134.4,94.18136064886104,92.687,46.3435
4,2,20,525,105,1.7659005121661444,86.59,43.295
4,2,21,645.75,129.15,0,83.78999999999999,41.894999999999996
4,2,22,616,123.2,0,77.042,38.521
4,2,23,608.9999999999999,121.8,0,82.565,41.2825
4,2,24,652.75,130.55,0,80.31099999999999,40.155499999999996
4,3,1,574,114.80000000000003,0,81.753,40.8765
4,3,2,530.25,106.05000000000001,0,77.54599999999999,38.772999999999996
4,3,3,598.5,119.7,0,70.301,35.1505
4,3,4,528.5,105.7,0,77.04899999999999,38.524499999999996
4,3,5,631.75,126.35,0,97.895,48.9475
4,3,6,581,116.19999999999999,0,118.92999999999999,59.464999999999996
4,3,7,556.5,111.30000000000001,10.595403072996866,134.218,67.109
4,3,8,521.5,104.3,79.4655230474765,106.722,53.361
4,3,9,638.75,127.75,176.0014177125591,100.779,50.3895
4,3,10,596.75,119.35000000000001,433.82289248881614,85.631,42.8155
4,3,11,577.5,115.5,516.820216560625,63.42699999999999,31.713499999999996
4,3,12,511,102.2,317.862092189906,69.223,34.6115
4,3,13,568.75,113.75,433.8228924888162,50.16199999999999,25.080999999999996
4,3,14,570.5,114.1,526.8269861295664,55.236999999999995,27.618499999999997
4,3,15,614.25,122.85,330.223395775069,57.4,28.7
4,3,16,584.5,116.89999999999999,216.028495988325,70.24499999999999,35.122499999999995
4,3,17,469,93.80000000000001,163.64011412739606,93.639,46.8195
4,3,18,588,117.6,90.06092612047337,110.677,55.3385
4,3,19,700,140,15.893104609495301,116.12299999999998,58.06149999999999
4,3,20,469.00000000000006,93.80000000000001,0,106.29499999999999,53.147499999999994
4,3,21,577.5,115.5,0,92.42799999999998,46.21399999999999
4,3,22,616,123.2,0,79.184,39.592
4,3,23,570.5,114.1,0,77.59499999999998,38.79749999999999
4,3,24,626.5,125.30000000000001,0,77.154,38.577
4,4,1,575.75,115.15,0,81.78099999999999,40.890499999999996
4,4,2,591.5,118.30000000000001,0,80.976,40.488
4,4,3,596.75,119.35000000000001,0,81.64099999999999,40.820499999999996
4,4,4,588,117.6,0,85.33699999999999,42.668499999999995
4,4,5,785.7499999999999,157.14999999999998,0,101.801,50.9005
4,4,6,938.0000000000001,187.60000000000002,0,126.59499999999998,63.29749999999999
4,4,7,953.75,190.75,11.184036577052249,138.327,69.1635
4,4,8,845.2499999999999,169.04999999999998,106.54266423402404,119.52499999999999,59.762499999999996
4,4,9,811.9999999999999,162.39999999999998,199.54675787477436,96.355,48.1775
4,4,10,890.75,178.15,344.93923337645356,78.41399999999999,39.206999999999994
4,4,11,818.9999999999999,163.79999999999998,343.7619663683428,81.83,40.915
4,4,12,715.7499999999999,143.14999999999998,360.2437044818935,76.62899999999999,38.314499999999995
4,4,13,817.2500000000001,163.45000000000002,366.1300395224473,75.11699999999999,37.558499999999995
4,4,14,798,159.60000000000002,430.2910914644839,76.097,38.0485
4,4,15,719.25,143.85,729.3169115246178,78.911,39.4555
